4	2001-04-22 23:54:00-04	Wrote to ask for an update, mail bounced, wrote Guylhem	david       
5	2001-04-22 23:54:00-04	Asked for a few changes. He said okay, but is busy. I asked how long will it take? He said two months, I said ok!	david       
11	2001-04-22 23:54:00-04	Wrote initial contact for update, bounced.	david       
14	2001-04-22 23:54:00-04	Asked author to convert to DocBook assign a version number, and retitle. He has no time, but will let us take over. He gave official confirmation that we can relicense under GFDL and find a new maintainer. Francis Litterio (litterio@pyxsys.net) volunteered. He is working on correcting grammar and will send to ldp-review when done.	david       
15	2001-04-22 23:54:00-04	Asked author to convert to DocBook and relicense.	david       
26	2001-04-22 23:54:00-04	Wrote for update	david       
43	2001-04-22 23:54:00-04	Wrote for update, and asked Ferg to move to HOWTO. He wrote back but wasn't very responsive. I asked the question again. Author said he can do it, but it may take some time. I said fine, but can you do it? He said sure.	david       
71	2001-04-22 23:54:00-04	Asked for verification of distribution date and version number, newer version (which is already on his site), gfdl, offered our cvs.	david       
77	2001-04-22 23:54:00-04	Asked Ferg to move it into HOWTO. He said it was actually replaced by a new FTP HOWTO, all is now correct.	david       
87	2001-04-22 23:54:00-04	Updated 1999-12-27 per document body.	david       
98	2001-04-22 23:54:00-04	Version is 0.9 per document body. Asked him to gfdl, add version & pubdate, notified him of cvs.	david       
112	2001-04-22 23:54:00-04	Wrote for permission to publish, asked about GFDL and DB. Author said may be problems with official publisher. I'm having that conversation now.	david       
115	2001-04-22 23:54:00-04	Asked Ferg to move into Quick Reference	david       
124	2001-04-22 23:54:00-04	Asked Guylhem to update to docbook.	david       
137	2001-04-22 23:54:00-04	Version conflicts with source file.	david       
155	2001-04-22 23:54:00-04	Asked ferg if we can remove it since it's replaced by the Guide of the same name.	david       
171	2001-04-22 23:54:00-04	Asked to retitle Linux 2.4 Kernel Internals, and to go to docbook. he did the retitle. I asked him to submit it, and informed him of cvs availability. I asked on the list for a volunteer to convert.	david       
184	2001-04-22 23:54:00-04	Ferg is publishing html, we're waiting for db volunteer. Author is adding new licensing.	david       
191	2001-04-22 23:54:00-04	Waiting on relicense Author is cool. Asked about docbook also, author is cool once again. :-) He wants cvs, directed him to LAG.	david       
198	2001-04-22 23:54:00-04	Replaced by PPP HOWTO	david       
211	2001-04-22 23:54:00-04	Wrote to ask for an update, mail bounced, wrote to the other two guys mentioned in the FAQ, one of those bounced. Other guy knows nothing about author's current email. Searched google, found swalton@columbus.rr.com, tried it, got an answer. New email is swalton@columbus.rr.com. He says it covers only the 2.0 kernel. He has no time but will try. I asked if we could get it under GFDL and use the contents if he has no time. He said yes. I am now confirming whether he wants to continue maintainership at all, or just pass it on to someone else. Waiting on that reply.	david       
