2001-12-07	HOWTO       	HTML        	SGML        	2
2001-12-07	HOWTO       	LinuxDoc    	SGML        	162
2001-12-07	MINI        	DocBook     	SGML        	76
2001-12-07	MINI        	DocBook     	XML         	1
2001-12-07	MINI        	HTML        	SGML        	1
2001-12-07	MINI        	LinuxDoc    	SGML        	36
2001-12-07	QUICK       	DocBook     	SGML        	1
2001-12-07	QUICK       	HTML        	SGML        	1
2001-12-07	QUICK       	N/A         	PDF         	1
2001-12-07	TEMPLATE    	DocBook     	SGML        	1
2001-12-07	TEMPLATE    	LinuxDoc    	SGML        	2
2001-12-08	BACKGROUNDER	DocBook     	SGML        	1
2001-12-08	FAQ         	DocBook     	SGML        	2
2001-12-08	FAQ         	HTML        	SGML        	2
2001-12-08	FAQ         	LinuxDoc    	SGML        	2
2001-12-08	FAQ         	N/A         	TEXT        	2
2001-12-08	GUIDE       	DocBook     	SGML        	8
2001-12-08	GUIDE       	DocBook     	XML         	2
2001-12-08	GUIDE       	HTML        	SGML        	1
2001-12-08	GUIDE       	LinuxDoc    	SGML        	1
2001-12-08	GUIDE       	N/A         	LaTeX       	1
2001-12-08	HOWTO       	DocBook     	SGML        	100
2001-12-08	HOWTO       	DocBook     	XML         	3
2001-12-08	HOWTO       	HTML        	SGML        	2
2001-12-08	HOWTO       	LinuxDoc    	SGML        	162
2001-12-08	MINI        	DocBook     	SGML        	76
2001-12-08	MINI        	DocBook     	XML         	1
2001-12-08	MINI        	HTML        	SGML        	1
2001-12-08	MINI        	LinuxDoc    	SGML        	36
2001-12-08	QUICK       	DocBook     	SGML        	1
2001-12-08	QUICK       	HTML        	SGML        	1
2001-12-08	QUICK       	N/A         	PDF         	1
2001-12-08	TEMPLATE    	DocBook     	SGML        	1
2001-12-08	TEMPLATE    	LinuxDoc    	SGML        	2
2001-12-04	GUIDE       	DocBook     	XML         	2
2001-12-04	GUIDE       	HTML        	SGML        	1
2001-12-04	GUIDE       	LinuxDoc    	SGML        	1
2001-12-04	GUIDE       	N/A         	LaTeX       	1
2001-12-04	HOWTO       	DocBook     	SGML        	100
2001-12-04	HOWTO       	DocBook     	XML         	3
2001-12-04	HOWTO       	HTML        	SGML        	2
2001-12-04	HOWTO       	LinuxDoc    	SGML        	162
2001-12-04	MINI        	DocBook     	SGML        	76
2001-12-04	MINI        	DocBook     	XML         	1
2001-12-04	MINI        	HTML        	SGML        	1
2001-12-04	MINI        	LinuxDoc    	SGML        	36
2001-12-04	QUICK       	DocBook     	SGML        	1
2001-12-04	QUICK       	HTML        	SGML        	1
2001-12-04	QUICK       	N/A         	PDF         	1
2001-12-04	TEMPLATE    	DocBook     	SGML        	1
2001-12-04	TEMPLATE    	LinuxDoc    	SGML        	2
2001-12-05	BACKGROUNDER	DocBook     	SGML        	1
2001-12-05	FAQ         	DocBook     	SGML        	2
2001-12-05	FAQ         	HTML        	SGML        	2
2001-12-05	FAQ         	LinuxDoc    	SGML        	2
